price,location,rooms,rating,detail_ratings,place_offers
,"Thessaloniki, Greece",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,5.0 ·,"['Cleanliness5.0', 'Accuracy5.0', 'Communication5.0', 'Location5.0', 'Check-in5.0', 'Value5.0']","['Park view', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage: closet', '55"" HDTV with Disney+', 'AC - split type ductless system', 'Portable fans', 'Heating', 'Security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Fast wifi – 193 Mbps', 'Kitchen', 'LG refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Beko electric stove', 'Oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Dining table', 'Private patio or balcony', 'Outdoor furniture', 'Elevator', 'Paid parking garage off premises', 'Long term stays allowed', 'Host greets you', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,4.91 ·,"['Cleanliness5.0', 'Accuracy4.9', 'Communication5.0', 'Location4.8', 'Check-in5.0', 'Value4.9']","['Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Clothing storage', 'TV', 'Paid crib - available upon request', 'Air conditioning', 'Heating - split type ductless system', 'Security cameras on property', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stove', 'Hot water kettle', 'Coffee maker: Nespresso', 'Baking sheet', 'Trash compactor', 'Outdoor dining area', 'Elevator', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: WasherWasher', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 64 ,"Kalamaria, Thessaloniki, Greece",4 guests ·  · 1 bedroom ·  · 3 beds ·  · 1 bath,4.94 ·,[],"['Bathtub', 'Hair dryer', 'PAPOYTSANIS shampoo', 'PAPOYTSANIS body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage: closet', 'Ethernet connection', '40"" HDTV with Netflix', 'Books and reading material', 'Crib - available upon request', 'Pack ’n play/Travel crib - available upon request', 'Baby monitor', 'Outlet covers', 'Babysitter recommendations', 'AC - split type ductless system', 'Central heating', 'Security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Fast wifi – 51 Mbps', 'Dedicated workspace', 'Kitchen', 'Eskimo 200lt refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Induction stove', 'Hot water kettle', 'Coffee maker: french press', 'Wine glasses', 'Dining table', 'Coffee', 'Private patio or balcony', 'Outdoor furniture', 'Outdoor dining area', 'Free driveway parking on premises – 1 space', 'Free street parking', 'Elevator', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Private entrancePrivate entrance']"
€ 118 ,"Thessaloniki, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.80 ·,"['Cleanliness4.8', 'Accuracy4.8', 'Communication4.8', 'Location4.4', 'Check-in4.8', 'Value4.8']","['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Clothing storage: wardrobe', 'TV', 'AC - split type ductless system', 'Heating - split type ductless system', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Induction stove', 'Oven', 'Hot water kettle', 'Baking sheet', 'Private patio or balcony', 'Outdoor furniture', 'Private hot tub - available all year, open 24 hours', 'Elevator', 'Single level home', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 85 ,"Thessaloniki, Greece",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,4.92 ·,"['Cleanliness5.0', 'Accuracy4.8', 'Communication4.9', 'Location4.8', 'Check-in5.0', 'Value4.8']","['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Washer', 'Dryer', 'Essentials', 'Hangers', 'Room-darkening shades', 'Iron', 'Clothing storage: closet', 'TV', 'Air conditioning', 'Central heating', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Toaster', 'Dining table', 'Elevator', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.78 ·,"['Cleanliness4.8', 'Accuracy4.8', 'Communication4.9', 'Location4.9', 'Check-in4.9', 'Value4.8']","['Hair dryer', 'Shampoo', 'Hot water', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Wifi', 'Refrigerator', 'Coffee maker', 'Private entrance', 'Patio or balcony', 'Elevator', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: KitchenKitchen', 'Unavailable: WasherWasher']"
€ 79 ,"Thessaloniki, Greece",3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.96 ·,[],"['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Wifi', 'Refrigerator', 'Microwave', 'Dishes and silverware', 'Mini fridge', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Private entrance', 'Private patio or balcony', 'Outdoor furniture', 'Luggage dropoff allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: KitchenKitchen', 'Unavailable: WasherWasher']"
€ 62 ,"Pilea, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.96 ·,[],"['Hair dryer', 'Cleaning products', 'Loreal shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Clothing storage: wardrobe', '50"" HDTV with Netflix', 'Crib - always at the listing', 'Window AC unit', 'Central heating', 'Wifi', 'Dedicated workspace', 'Kitchen', 'ARIELI refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Electric stove', 'Stainless steel oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Baking sheet', 'Blender', 'Dining table', 'Coffee', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Outdoor furniture', 'Free parking garage on premises', 'Elevator', 'Single level home', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 110 ,"Thessaloniki, Greece",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 2 baths,4.95 ·,"['Cleanliness5.0', 'Accuracy5.0', 'Communication5.0', 'Location5.0', 'Check-in5.0', 'Value4.9']","['Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Bidet', 'Hot water', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage: wardrobe', '55"" HDTV with Netflix', 'Books and reading material', 'Babysitter recommendations', 'AC - split type ductless system', 'Heating', 'Fast wifi – 98 Mbps', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Electrolux stainless steel induction stove', 'Stainless steel oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Toaster', 'Dining table', 'Coffee', 'Laundromat nearby', 'Private patio or balcony', 'Elevator', 'Paid parking garage off premises', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 106 ,"Thessaloniki, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,5.0 ·,"['Cleanliness5.0', 'Accuracy5.0', 'Communication5.0', 'Location5.0', 'Check-in5.0', 'Value5.0']","['City skyline view', 'Sea view', 'Hair dryer', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Free dryer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage: closet', '40"" HDTV with Netflix, premium cable, standard cable', 'Paid crib - available upon request', 'Paid standalone high chair - available upon request', 'Baby bath - available upon request', 'Central air conditioning', 'Central heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Stainless steel stove', 'Stainless steel single oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Dining table', 'Coffee', 'Waterfront', 'Private patio or balcony', 'Outdoor furniture', 'Outdoor dining area', 'Elevator', 'Paid parking lot off premises', 'Single level home', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",3 guests ·  · Studio ·  · 1 bed ·  · 1 bath,4.42 ·,[],"['Hair dryer', 'TV', 'AC - split type ductless system', 'Heating', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: WasherWasher', 'Unavailable: EssentialsEssentials', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: ShampooShampoo', 'Unavailable: Private entrancePrivate entrance']"
€ 29 ,"Thessaloniki, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.85 ·,"['Cleanliness4.9', 'Accuracy4.8', 'Communication4.9', 'Location4.9', 'Check-in5.0', 'Value4.7']","['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'HDTV with standard cable', 'AC - split type ductless system', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Refrigerator', 'Dishes and silverware', 'Coffee maker', 'Waterfront', 'Beach access', 'Elevator', 'Paid parking off premises', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: KitchenKitchen', 'Unavailable: WasherWasher', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",6 guests ·  · 2 bedrooms ·  · 3 beds ·  · 1 bath,4.97 ·,"['Cleanliness5.0', 'Accuracy5.0', 'Communication5.0', 'Location5.0', 'Check-in5.0', 'Value4.9']","['Hair dryer', 'Shampoo', 'Hot water', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Ethernet connection', 'TV', 'Pack ’n play/Travel crib', 'High chair', 'Baby bath', 'Air conditioning', 'Heating', 'Smoke alarm', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Coffee maker', 'Private patio or balcony', 'Elevator', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: WasherWasher', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 60 ,"Thessaloniki, Greece",5 guests ·  · Studio ·  · 4 beds ·  · 1.5 baths,4.86 ·,"['Cleanliness4.8', 'Accuracy4.9', 'Communication5.0', 'Location5.0', 'Check-in5.0', 'Value4.8']","['Hair dryer', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage', 'TV', 'Crib - available upon request', 'Pack ’n play/Travel crib - available upon request', 'Air conditioning', 'Ceiling fan', 'Heating', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker', 'Baking sheet', 'Dining table', 'Coffee', 'Paid parking off premises', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 46 ,"Thessaloniki, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.71 ·,"['Cleanliness4.7', 'Accuracy4.7', 'Communication4.9', 'Location4.9', 'Check-in4.9', 'Value4.7']","['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'HDTV with standard cable, Netflix', 'AC - split type ductless system', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Stove', 'Oven', 'Private entrance', 'Private patio or balcony', 'Outdoor furniture', 'Paid parking off premises', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property']"
€ 201 ,"Thessaloniki, Greece",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,4.83 ·,"['Cleanliness4.9', 'Accuracy4.9', 'Communication4.8', 'Location4.8', 'Check-in5.0', 'Value4.7']","['Sea view', 'Hair dryer', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Washer', 'Free dryer – In building', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Coffee maker: Nespresso', 'Wine glasses', 'Dining table', 'Coffee', 'Hot tub', 'Elevator', 'Paid parking lot off premises', 'Self check-in', 'Keypad', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,,[],"['Hair dryer', 'Cleaning products', 'Body soap', 'Hot water', 'Shower gel', 'Washer', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Clothing storage: wardrobe and dresser', 'TV', 'Air conditioning', 'Heating', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stove', 'Hot water kettle', 'Coffee maker', 'Wine glasses', 'Private patio or balcony', 'Elevator', 'Host greets you', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: ShampooShampoo', 'Unavailable: Private entrancePrivate entrance']"
€ 56 ,"Thessaloniki, Greece",6 guests ·  · 2 bedrooms ·  · 3 beds ·  · 1 bath,4.85 ·,"['Cleanliness4.8', 'Accuracy4.9', 'Communication4.9', 'Location5.0', 'Check-in5.0', 'Value4.8']","['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'HDTV with standard cable', 'AC - split type ductless system', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Stove', 'Coffee maker', 'Waterfront', 'Elevator', 'Paid parking off premises', 'Single level home', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: WasherWasher', 'Unavailable: Private entrancePrivate entrance']"
€ 60 ,"Thessaloniki, Greece",4 guests ·  · 1 bedroom ·  · 3 beds ·  · 1.5 baths,4.83 ·,"['Cleanliness4.8', 'Accuracy4.9', 'Communication5.0', 'Location5.0', 'Check-in4.9', 'Value4.8']","['Hair dryer', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage', 'TV', 'Crib', 'Pack ’n play/Travel crib - available upon request', 'Air conditioning', 'Heating', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker', 'Baking sheet', 'Dining table', 'Coffee', 'Paid parking off premises', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 22 ,"Thessaloniki, Greece",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,4.51 ·,[],"['Hair dryer', 'Shampoo', 'Essentials', 'Hangers', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Unavailable: WasherWasher', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 66 ,"Thessaloniki, Greece",5 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,4.93 ·,"['Cleanliness4.9', 'Accuracy5.0', 'Communication5.0', 'Location5.0', 'Check-in5.0', 'Value4.9']","['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'TV with standard cable', 'High chair', 'Air conditioning', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stove', 'Coffee maker: Nespresso, pour-over coffee', 'Private entrance', 'Elevator', 'Luggage dropoff allowed', 'Self check-in', 'Smart lock', 'Unavailable: WasherWasher']"
€ 136 ,"Thessaloniki, Greece",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,4.76 ·,[],"['Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Mosquito net', 'TV', 'Crib', 'Air conditioning', 'Wifi', 'Dedicated workspace', 'Dishes and silverware', 'Oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Toaster', 'Dining table', 'Private patio or balcony', 'Outdoor furniture', 'Outdoor dining area', 'Elevator', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: KitchenKitchen', 'Unavailable: WasherWasher', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance', 'Unavailable: HeatingHeating']"
€ 53 ,"Thessaloniki, Greece",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,4.80 ·,"['Cleanliness4.8', 'Accuracy4.7', 'Communication4.9', 'Location4.9', 'Check-in4.8', 'Value4.8']","['Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Safe', 'Clothing storage: closet', 'Ethernet connection', 'TV', 'High chair', 'AC - split type ductless system', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fast wifi – 194 Mbps', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Stove', 'Hot water kettle', 'Coffee maker: french press, Nespresso', 'Wine glasses', 'Dining table', 'Coffee', 'Private patio or balcony', 'Outdoor furniture', 'Elevator', 'Paid parking garage off premises', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: WasherWasher', 'Unavailable: Private entrancePrivate entrance']"
€ 81 ,"Thessaloniki, Greece",4 guests ·  · 2 bedrooms ·  · 3 beds ·  · 1 bath,5.0 ·,"['Cleanliness5.0', 'Accuracy5.0', 'Communication5.0', 'Location5.0', 'Check-in5.0', 'Value5.0']","['Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Clothing storage: wardrobe', 'HDTV with Netflix', 'Children’s books and toys for ages 0-2 years old and 2-5 years old', 'Children’s dinnerware', 'Air conditioning', 'Heating', 'First aid kit', 'Fast wifi – 93 Mbps', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Coffee maker', 'Private patio or balcony', 'Host greets you', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 39 ,"Thessaloniki, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.55 ·,"['Cleanliness4.7', 'Accuracy4.7', 'Communication4.7', 'Location4.7', 'Check-in4.8', 'Value4.5']","['Hair dryer', 'Cleaning products', 'Tresemme shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage', '37"" HDTV with Netflix', 'Central air conditioning', 'Central heating', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stainless steel electric stove', 'Hot water kettle', 'Coffee maker: drip coffee maker', 'Wine glasses', 'Dining table', 'Coffee', 'Beach access', 'Private patio or balcony', 'Elevator', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: WasherWasher', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",4 guests ·  · 2 bedrooms ·  · 5 beds ·  · 2 baths,4.76 ·,"['Cleanliness4.7', 'Accuracy4.8', 'Communication4.7', 'Location5.0', 'Check-in4.8', 'Value4.8']","['City skyline view', 'Park view', 'Sea view', 'Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage: closet', '42"" TV with Netflix, standard cable', 'Pack ’n play/Travel crib - available upon request', 'Window AC unit', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Stainless steel electric stove', 'Oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Dining table', 'Coffee', 'Private patio or balcony', 'Outdoor furniture', 'Elevator', 'Paid parking off premises', 'Single level home', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance', 'Unavailable: HeatingHeating']"
€ 81 ,"Thessaloniki, Greece",4 guests ·  · 2 bedrooms ·  · 3 beds ·  · 1 bath,5.0 ·,"['Cleanliness5.0', 'Accuracy5.0', 'Communication5.0', 'Location5.0', 'Check-in5.0', 'Value5.0']","['Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Clothing storage: wardrobe', 'HDTV with Netflix', 'Children’s books and toys for ages 0-2 years old and 2-5 years old', 'Children’s dinnerware', 'Air conditioning', 'Heating', 'First aid kit', 'Fast wifi – 93 Mbps', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Coffee maker', 'Private patio or balcony', 'Host greets you', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.71 ·,"['Cleanliness4.7', 'Accuracy4.8', 'Communication4.9', 'Location4.9', 'Check-in4.8', 'Value4.7']","['Beach view', 'Mountain view', 'Sea view', 'Hair dryer', 'Shampoo', 'Hot water', 'Free washer – In building', 'Essentials', 'Hangers', 'Iron', '25"" TV', 'Exercise equipment', 'Window AC unit', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Stove', 'Oven', 'Coffee maker', 'Private entrance', 'Private patio or balcony', 'Elevator', 'Paid parking off premises', 'Single level home', 'Smoking allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: HeatingHeating']"
